,t,a,v_pro,v_stop,v_anti,t_anti
MG0243,0.178464420265,1.96838337933,9.07926359174,13.754313928,16.3740323667,0.170234769792
MG0246,0.0001,2.12050610723,5.11827727558,4.93257571967,4.39276392917,0.0001
MG0248,0.195215708216,1.49585989124,7.45767381455,7.84507592485,8.69383104052,0.141096261277
MG0253,0.243026374304,0.78609520363,4.30365231299,8.24979621825,9.92168157725,0.162618303732
MG0256,0.253318230399,1.08136240743,9.84423010618,16.5973112611,13.4391408993,0.0966776359349
MG0257,0.196291219124,1.28862865713,8.49522228625,9.0478939453,11.2639231027,0.148008796866
MG0259,0.265331219333,0.611919677178,6.15645402453,10.2883909036,8.38937060582,0.104619757514
MG0261,0.239141607799,0.901682028486,6.61124455195,11.5255920524,15.5636986822,0.130646383471
MG0269,0.261183978216,0.469294107143,5.43055031013,4.73971748743,10.437353671,0.143011043501
MG0270,0.210034801638,0.913313042771,6.77332872846,7.1668703801,14.6161625945,0.152904315781
TX0016,0.237833532001,0.834739662711,5.48006775683,8.50105073689,13.5183568761,0.180489874328
TX0019,0.168030118001,1.65849606241,9.63051768899,11.4350798267,10.9989182581,0.146958449602
TX0022,0.210959359555,0.650898089085,6.27339975577,6.57536802575,8.74095102905,0.12118014152
TX0027,0.212226570716,0.632244377053,6.88440639299,8.54010146328,11.1690103097,0.107737915345
TX0029,0.249590511456,1.05590561626,5.81804953723,10.4556838665,8.43197124668,0.136393733983
TX0033,0.192600388612,1.15416972421,7.71474282872,9.37256613652,9.88354158729,0.135611115433
TX0038,0.193313549853,0.91623744825,5.73727569205,6.98548014436,7.92441908493,0.135500943468
TX0040,0.215949959593,0.634388376447,7.45037326151,7.28844938431,9.98114735934,0.0969450771231
TX0041,0.169539151005,1.72984892608,9.65579303845,12.7512613197,10.3620820647,0.110440619856
TX0078,0.0317430373987,2.76710803066,6.56410237831,8.78629030504,7.54251616093,0.191521856755
TX0110,0.208029497678,1.2470969751,9.15233772688,10.9485669687,11.8065616616,0.121537884457
TX0112,0.199798928558,1.13959647643,8.9053146314,13.0549388555,14.3198868561,0.142529633052
TX0114,0.233854748133,0.702915247618,6.67080960392,10.6930105551,8.00459914498,0.101832142383
TX0115,0.215575994087,0.775049229064,6.4165108745,10.5889698666,10.1733902327,0.131594384521
TX0117,0.230528400988,1.08633014391,5.95196994506,12.0154124436,14.6352986457,0.180204584115
TX0119,0.200789589907,0.95727933397,7.42669611726,13.2448246086,16.5885128173,0.134027176194
TX0122,0.250153505249,0.64081441008,5.28049317056,12.9131724509,10.2329301338,0.132324516407
TX0123,0.265670651534,0.770273211817,4.2957630483,9.74865435143,7.12236111734,0.172150359871
TX0126,0.243727972881,0.683134117346,4.49182713649,7.58037083822,8.84228859677,0.161527416447
TX0127,0.256109240872,0.950509425416,5.06222384971,10.0739204091,6.75433779402,0.16157842331
TX0129,0.200614833923,0.784506693197,6.31758212438,8.54467417516,9.29925529234,0.110491447718
TX0130,0.180407040118,1.58965248324,7.24665957457,10.8500250301,15.0174834945,0.206899976555
TX0132,0.156400110739,1.69608092976,7.4341659617,9.57533944704,9.87489449462,0.166278152003
TX0133,0.240623263285,0.784622124664,6.71760412023,12.7391662494,11.4721786476,0.11869608333
TX0134,0.192831436702,1.50039445502,7.20123974687,9.76366514455,10.5258157933,0.154187353652
TX0135,0.219006985361,0.508909306529,5.4377370511,9.08444227818,6.75502947655,0.120207146526
TX0136,0.213484692975,1.00345839194,3.4478659558,8.02496146169,4.0016496428,0.109349471403
TX0137,0.196774206045,1.47149937395,7.09302707594,10.038754662,9.98086506767,0.159778786234
TX0140,0.265554407318,0.698492628236,5.69019004906,11.5454266024,11.639611992,0.170948451035
TX0141,0.243492894424,0.698142104438,3.16880354457,5.85641186918,3.87759033315,0.138327384916
TX0142,0.223939177588,0.735002970943,5.00494648462,8.89322296573,6.4853635156,0.118174516855
TX0145,0.253720414126,0.728009450126,4.54987671423,7.22052249104,7.2844578728,0.149831360573
TX0149,0.224500845471,0.626615279196,4.86781933979,6.56868288763,6.34991830356,0.10925497746
TX0151,0.211799150129,0.738850353916,6.56139027884,9.05767131638,9.46122401373,0.13445480364
TX0152,0.183280631308,1.21602817032,6.61462637436,8.9606725713,13.3431034729,0.182822031632
TX0153,0.197423099525,1.17903488149,5.9285692343,8.79290406996,9.89598570846,0.196262458649
